,id,joke,transform_joke,label
0,0,如果素食者只吃蔬菜，那么人道主义者呢？,如果素食者只吃蔬菜，那么人道主义者呢？,1
1,1,妻子：亲爱的，请告诉我，我是你的最爱吗？ 丈夫：不，亲爱的！你是我的最最最爱。,妻子：亲爱的，请告诉我，我是你最喜欢的吗？丈夫：不，亲爱的！你是我的最爱。,1
2,2,纳税人是指不必通过公务员考试为政府工作的人。,纳税人是指不必通过公务员考试就可以为政府工作的人。,1
3,3,夏天来了，天气热了，一群SB往北飞，一会儿排成个S字，一会儿排成个B字。,夏天来了。天气很热。一群sbs向北飞。它们排列在S和B中。,1
4,4,老师问我：“那你身上怎么会有烟味？” 我想了想，答曰：“体香。,老师问我：“你身上为什么有烟？”我想了想，回答说：“身上有香味。,1
5,5,今天在饭店见证了邻桌姑娘被搭讪的全程。 一个帅气的男生对她说了两句话，第一句是：你一个人吗？ 姑娘矜持地点点头，男生接着说：一个人吃这么多呀？,今天我亲眼目睹了酒店隔壁桌女孩的整个聊天过程。一个英俊的男孩对她说了两个字。第一句话是：你一个人吗？女孩含蓄地点点头，男孩接着说：“你一个人吃多少？”,1
6,6,今天早上上班的时候看见了表姐，于是上前和她打招呼。 本来想说：这么早干嘛去啊！表姐！没想到张嘴变成了这么早干嘛去啊！婊子！,今天早上我看见我表妹在上班，所以我就上去跟她打招呼。我想说：为什么这么早就走？女表姐！没想到这么早就开口了。妓女！,1
7,7,你将永远听不到的30件事艾伯塔男孩说.....,30件你永远听不到阿尔伯塔男孩说的事…,0
8,8,张三天天玩牌，常常夜不归宿。 他老婆不高兴地抱怨说：“如果你再这样的话，我就要把男人带回家过夜。” “随便你啦！不过你得注意，不能拉我的牌友。”,张经常在晚上打牌三天。他的妻子不高兴地抱怨道：“如果你再那样做，我就把那人带回家过夜。”“随便你要什么！但你必须小心，不要拉我的队友。”,1
9,9,老师：灵灵同学请你用‘糖’字造一个句子。 灵灵：我在喝牛奶。 老师：糖呢？ 灵灵：在牛奶里啊！,老师：玲玲，请用“糖”这个词造句。玲玲：我在喝牛奶。老师：糖呢？玲玲：在牛奶里！,1
10,10,那些说你买不到快乐的人不知道在哪里购物。,那些说你买不到幸福的人不知道去哪里购物。,1
11,11,中国有风险，投胎须谨慎。,中国处于危险之中，应该谨慎生育。,1
12,12,如果你是最后一个女人而我是地球上的最后一个男人，我们可以在公共场合做。,如果你是世界上最后一个女人，而我是最后一个男人，我们可以在公共场合这样做。,0
13,13,年龄是一个关于物质的思想问题。如果你不介意，那没关系。,年龄是物质思想的问题。你不介意也没关系。,0
14,14,一男养一猪，烦，弃之。然其猪知家之归路，数弃未果。庶日，男驾车弃猪，当晚致电其妻曰：猪归否？妻曰：归矣！男吼道：让它接电话，我迷路了！,一个人养了一头猪，惹人烦，就把它抛弃了。但是猪知道回家的路。白天，一个男人开着一头猪，晚上打电话给他的妻子。妻子说：来吧！那人喊道：让它接电话，我迷路了！,1
15,15,我可能很胖，但你很难看 - 我可以减肥！,我可能很胖，但你很丑-我可以减肥！,0
16,16,邓小平到苏联访问。 赫鲁晓夫握着邓小平的手看着邓小平说：“小平同志，你是亚洲巨人啊！”。 邓小平看着赫鲁晓夫的秃头说：“赫鲁晓夫同志，你是欧洲的一盏明灯吧！”,邓小平访问了苏联。赫鲁晓夫拉着邓小平的手，看着邓小平说：“小平同志，你是亚洲巨人！”邓小平看着赫鲁晓夫的光头说：“赫鲁晓夫同志，你是欧洲的一盏灯！”,1
17,17,病人进牙医诊所开始猛掏腰包。 牙医：“你不用先付钱。” 病人：“我不是要先付钱，而是想在你给我麻醉前，算清我钱包里有多少钱。”,病人走进牙医的办公室，开始把钱倒出来。牙医：你不必预先付钱。病人：我不想先付钱。我想在你麻醉我之前弄清楚我钱包里有多少钱。,1
18,18,在黑暗中我牵着你的手，因为在光明中你看起来像个男人。,我在黑暗中握着你的手，因为你在光明中看起来像个男人。,1
19,19,死亡和税收是不可避免的，但至少每年死亡都不会恶化。,死亡和税收是不可避免的，但死亡至少不会每年恶化。,1
20,20,老师：“人类征服北极对我们有什么意义？” 学生：“意味着我们又要多背一道大题。”,老师：我们征服北极意味着什么？学生：这意味着我们必须记住一个大问题。,1
21,21,把钱翻倍的最快方法就是折叠并把它放回口袋里。,把钱翻一番的最快方法是把它折起来放回口袋里。,1
22,22,互联网上的朋友比现实生活中的朋友多。,网上的朋友比现实生活中的多。,0
23,23,我想像一个有很多钱的穷人一样生活。,我想像个有钱的穷人一样生活。,0
24,24,你有没有注意到......任何一个比你变得迟钝的人都是白痴。任何人走得更快都是疯子。,你有没有注意到比你更迟钝的人是个白痴？谁走得快谁就疯了。,1
25,25,男人为钱常常失信，女人为钱往往失身。,男人往往对金钱失去信心，而女人则常常为金钱而失去生命。,1
26,26,票据以两倍于支票的速度通过邮件。,账单通过邮件的速度是支票的两倍。,1
27,27,一日，夏天，老师穿一矮领T恤站于讲台，双手撑在桌上观看学生做作业。 忽然收到一张学生传过来的纸条：站直了~小心走光！,夏天的一天，老师穿着一件低领T恤站在讲台上，双手撑在桌子上，看着学生们做作业。突然我收到一个学生的便条：站直了~小心走！,1
28,28,我并不是说要成为一个势利小人，而是直接从威尼斯获得威尼斯百叶窗。,我不是想当势利小人，而是直接从威尼斯买威尼斯百叶窗。,1
29,29,语文课上，老师出‍了个上联“烟锁池塘柳”，要求我们对出的下联必须含有金木水火土的偏旁。 同桌流着口水站起来对了下联：“深圳铁板烧。”,在语文课上，老师提出一副对联“烟锁塘柳”，要求我们下一副对联要有金、木、水、火、土的一面。我的同桌含着口水站起来，对对联说：“深圳铁板烧了。”,1
30,30,现在父母们都非常担心两件事情： 儿子从网上下载了什么， 还有女儿上传了什么到网上！！！,现在父母很担心两件事：儿子从网上下载了什么，女儿上传了什么！！！！,1
31,31,就像你的人坐下一样，你不能跳上马桶座。,你不能像你的人坐下一样跳上马桶。,0
32,32,你可以不时地坐在你的怜悯锅上。完成后一定要冲洗。,你可以不时地坐在你的可怜壶上。完成后冲洗。,0
33,33,在您装入洗衣机后，洗衣机不会跟踪您一周。,你把洗衣机装好后，洗衣机一周内不会跟你走。,0
34,34,有三个人在酒吧，医生，律师和骑自行车的人喝酒。,有三个人在酒吧喝酒，医生，律师和骑自行车的。,0
35,35,由于冲突，原定于今天举行的建立和平会议已经取消。,由于冲突，原定于今天举行的建设和平会议被取消。,1
36,36,为这一生而生活的人只会永远地后悔。,为此生而活的人只会永远后悔。,0
37,37,对于喜欢和平与宁静的人：无绳电话。,对于那些喜欢宁静的人：无绳电话。,0
38,38,如果我过上自己的生活，我会少说话，多听。,如果我活着，我会少说多听。,0
39,39,邻居甲：“借你家录音机用用。” 邻居乙：“好的，原来你也喜欢欣赏音乐呀”。 邻居甲：“不是，我只想安静的睡一宿”,邻居A：把你家的录音机借给我。邻居B：“好吧，你也喜欢音乐。”邻居A：不，我只想安静地睡一夜。,1
40,40,有个著名演员同一个姑娘聊天。 “你不认识我吗？”演员问。 姑娘摇头。 “常进电影院的人都认识我。” 姑娘眼睛一亮：“你都坐在什么位置？”,一个著名的演员正在和一个女孩聊天。”你不认识我吗？”演员问。女孩摇了摇头。“去看电影的人都认识我。”女孩的眼睛亮了起来。你坐在哪里？”,1
41,41,玩面团和微波不应该在同一个句子中使用。,面团和微波炉不能用在同一句话里。,0
42,42,纽约这样一个美好的城市。虽然我今天在图书馆。这些家伙很粗鲁。我说，“我想要一张卡片。” 他说，“你必须证明你是纽约的公民。” 所以我刺伤了他。,纽约是个如此美丽的城市。尽管我今天在图书馆。这些人很粗鲁。我说，“我想要一张卡片。”“你必须证明你是纽约市民，”他说。所以我刺伤了他。,1
43,43,妈妈：你今天又偷喝了爸爸的酒了吧？ 东尼：没有呀？ 妈妈：那为什么衣服上有酒味？ 东尼：不可能，我喝酒时一点也没有洒在衣服上。,妈妈：你今天又偷爸爸的酒了吗？托尼：不是吗？妈妈：那为什么衣服有酒味？托尼：不可能。我没有把酒精洒在衣服上。,1
44,44,小乖乖，告诉爸爸，三加二等于多少？父亲问儿子。 站在一旁的家庭教师连忙伸出五个指头向孩子摇了摇，说：你看，这是什么？ 是爪子！,孩子，告诉爸爸，三加二等于多少？父亲问儿子。家教站在他旁边，用五个手指摇着孩子说：“看，这是什么？”它是爪子！,1
45,45,由于泌尿科的混合，今天早上将不提供橙汁。,由于泌尿系统的混合，今早橙汁不供应。,1
46,46,看到要求背诵全文后的小明求着老师让他背诵全文。,见到要求背诵全文的小明，他让老师让他背诵全文。,1
47,47,爱情的悲剧原因：好起来不给对方空间，恨起来不给对方机会。,爱情的悲剧性原因：当它更好的时候，它不会给对方空间，当它被憎恨的时候，它不会给对方机会。,1
48,48,你可能会因过于信任而过于怀疑而出错。,你可能会犯错误，因为你太信任，太怀疑。,0
49,49,“这个段子有点正常啊。”王老汉说完公孙门干从骨灰盒里跳了出来。,王老汉说公孙孟干从骨灰盒里跳了出来。,1
50,50,单击浏览器上的“返回”按钮返回到您的类别。,单击浏览器上的“上一步”按钮返回到您的类别。,0
51,51,老板：一块五一斤。 我：太贵了，五块钱三斤吧。 老板：不行不行。,老板：150英镑。我：太贵了。五元三斤。老板：不，不。,1
