id,joke
0,那天我无聊在百度收索歌曲，这时有网友发来信息问，好久不见，你在忙什么呢？我低头打下一行字，没看就发了。 网友回复偷笑的表情说：别找了，哥在这儿呢！我一看刚发的那一行字，我也郁闷的乐了，我在百度找哥！
1,语文课上，老师讲完“缘木求鱼”这个成语后，请同学再想一个意思相近的成语。 小明答：“杀鸡取卵。” 老师纠正：“错了，缘木求鱼指的是方向、方法不对而达不到目的。” 小明坦然答道：“老师，我杀的是公鸡！”
2,一天，小贾到集市上想卖掉她的驴子！ 有个人（小刘）问：你的驴卖多少钱？ 小贾：2000块！ 小刘：我出3000块…… 小刘骑上驴特高兴，可是，那驴却不走！ 小刘问：你的驴为什么不会走呢？ 小贾：你大声骂，我kao…… 于是小刘：我我kao~ 只见驴子走了两步。 我kao~ 驴子又走了两步！ 小刘感觉不错于是继续连声骂道：我kao、我kao……驴子飞奔起来！ 小刘越骂越来劲儿，我kao、我kao……可他却忘记看路，驴子径直奔向了山顶！眼看就要到悬崖边了，小刘才发现，他忘记问小贾如何停下来了！情急之下小刘大叫一声：妈话音刚落驴子突然停了下来。 小刘探头望着眼前的悬崖，长叹了一口气……曰：我kao……好险啊！ 驴子噌的一下跃下了悬崖……
3,一日在手机营业厅充值，排在前面的女孩背影很迷人，趁她转身时一看，果真是个美女。 当她报号码充值时，我悄悄把她号码记了下来。 晚上突然想起这个美女，于是鼓起勇气，发个短信：“交个朋友怎么样？” “你是谁啊？” “我是今天站在你后面充话费的。 “噢，今天我女朋友帮我充的。”
4,在一个乡下的酒吧里，有两个牧师在一起喝酒，不久因喝多了而十分兴奋，其中一个牧师便建议骑车去兜风。骑车的牧师就来个放开双手骑车的特技，好死不死被巡警撞见，便被拦了下来：酒后驾车，特技行驶，再加上两人没载安全帽，准罚死你们！　牧师见状忙道：警察大人，刚刚我没有特技行驶，而是上帝在操纵着机车呢！ 警察一听，又拿出了罚单边写边说：三项，再加上一人没载安全帽，签名吧！
5,竜把头左斗右斗都斗不过门帕。就想用收买的办法去把门帕拉拢过来。第二天，竜把头见门帕打柴回来，便说：聪明的门帕，我准备让你当我的管家。从此以后，你吃不愁、穿不愁、用不愁，也用不着再住你那又破又脏又小的木楼了。 门帕说：好是好，老爷，就差。 还差什么，快说！ 老爷，就差我的心还没变成石头。
6,"王老师: 小明同学,你说地球往哪个方向自转? 小明:由西向东， 王老师：对，回答非常正确。 小明：不过有时候也由东向西。 老师:哦？为什么 ？ 小明 :老师您想，谁光吃一样东西不烦啊 ，地球就向东转烦了,可不就向西转啊！"
7,在斯威夫特博士家附近住着一位富有的老妇人，她时常打发仆人给他送礼物。斯威夫特博士接受她的礼物，但从不给那位仆人任何酬谢。一天，斯威夫特博士正忙着写东西，那位仆人冲进了他的房间，把书一扒拉，将一个包裹扔在书桌上，说道：我的女主人送给你两只兔子。 斯威夫特转过身来说：孩子，包裹可不是这样送法呀。现在，你坐在我的位子上，看着我是怎么送的，并要记住这个教训。 那位仆人坐了下来，斯威夫特走出去，敲了敲门，等待回音。仆人说：进来。博士进了门，走到桌旁说道：先生，我的女主人向您致以亲切的问候，并希望您收下这两只兔子，这是她儿子今天早上在地里打的。仆人回答说：谢谢你，我的孩子。向你的女主人和她的儿子致谢，谢谢他们的关心。这两个先令是送给你本人的。 博士笑了笑，打那以后，斯威夫特从没忘记给那位仆人小费。
8,有婆媳二人同守寡，婆婆教训媳妇说：“做了寡妇就必须咬紧了牙关过日子。” 过了不久，婆婆与人私通，媳妇用婆婆说过的话责问她。婆婆张开口给媳妇看，并说： “你看看，也得我有牙齿能咬才行！”
9,受欢迎的并不总是正确的; 什么是正确的并不总是受欢迎。
